Channel,Order_Status,Product,Order_Type,New_Delivery_Type,Created_Month,Completed_Month,Order_Manager,Project_Order,On_Time,CT_Ex_Delayed_Days,LT_Tgt,SLT_Status,On_Time_Tgt,Cycle_Time_Tgt,Parked_Tgt,Backlog_Tgt,Age_Status,Project,Country
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, MPLS,Cancellation,Cancellation International 3rd Party,01/04/2019,01/06/2019,BRADYA,FALSE,On-Time,52,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, MPLS,Cancellation,Cancellation International 3rd Party,01/04/2019,01/06/2019,BRADYA,FALSE,On-Time,52,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, MPLS,Cancellation,Cancellation International 3rd Party,01/04/2019,01/07/2019,BRADYA,FALSE,On-Time,60,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, MPLS,Cancellation,Cancellation International 3rd Party,01/04/2019,01/06/2019,BRADYA,FALSE,On-Time,52,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, xDSL / MPLS,Cancellation,Cancellation International 3rd Party,01/04/2019,01/06/2019,DUFFYM,FALSE,On-Time,43,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed,Wan Matrix,Cancellation,Cancellation International 3rd Party,01/04/2019,01/06/2019,DUFFYM,FALSE,On-Time,43,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, xDSL / MPLS,Cancellation,Cancellation International 3rd Party,01/04/2019,01/05/2019,DUFFYM,FALSE,On-Time,29,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Internal,Completed, Private Line National,New,Non-Standard,01/04/2019,01/08/2019,HEJLOVS,FALSE,On-Time,87,60,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Etherflow,New,Standard Domestic,01/04/2019,01/04/2019,SMARTTEM,TRUE,On-Time,13,25,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Etherflow,New,Quick Connect,01/04/2019,01/04/2019,SMARTTEM,TRUE,On-Time,7,15,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,7,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,4,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,7,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,7,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, One Voice Global SIP,SD Upgrade/Downgrade,International,01/04/2019,01/04/2019,COATESL,FALSE,On-Time,14,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Internal,Completed, One Voice Global SIP,New,International,01/04/2019,01/09/2019,DJEMAIM,FALSE,On-Time,107,100,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, One Voice Global SIP,New,Standard Global,01/04/2019,01/06/2019,CORCORC3,FALSE,On-Time,45,25,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Etherflow/IP,New,3rd Party Standard,01/04/2019,01/05/2019,LYONSR3,FALSE,On-Time,30,50,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Parked, Etherflow,New,Standard Domestic,01/04/2019,N/A,DUFFYM,FALSE,N/A,0,25,,0.95,0.94,0.09,0.03,BAU Parked,BAU,France
Carrier,Completed, Private Line National,New,Standard Domestic,01/04/2019,01/05/2019,DUFFYM,FALSE,On-Time,27,25,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Cancelled, Etherflow,New,International,01/04/2019,January,,TRUE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,In Progress, Etherflow,New,International,01/04/2019,N/A,GIFFNEK,TRUE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,Completed, IP Connect GLOBAL,SD Upgrade/Downgrade,International,01/04/2019,01/06/2019,DJEMAIM_X,FALSE,On-Time,46,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, MPLS,SD Upgrade/Downgrade,International,01/04/2019,01/05/2019,CONNOLH2,FALSE,On-Time,19,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, IP Connect GLOBAL,New,International,01/04/2019,01/09/2019,DJEMAIM,TRUE,On-Time,118,100,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
