Order-ref,Channel,Order_Status,Product,Order_Type,New_Delivery_Type,Priority_Order,OCD,ODD,CHD,Parked_Status,Overall_Parked_Days,SRF_REF,Order_Manager,Circuit_Class_Type,Project_Order,On_Time,CT_Ex_Delayed_Days,LT_Tgt,SLT_Status,SLT_Exclusion,Per_Day_€,RFT_Exclusion,CHD_Period,CHD_Week,CHD_Month,CHD_FQ,CHD_FY,Order_In Backlog,Age_Status,Aged_Status,OCD_Period,OCD_Week,OCD_FQ,OCD_FY,ODD_Period,ODD_Week,ODD_FQ,ODD_FY,Group,Group_Manager,On_Time_Tgt,Cycle_Time_Tgt,Parked_Tgt,Backlog_Tgt
ref_877406304,Internal,In Progress,Network Updates,Network,Non-Standard,P3,02/05/2019,,,,,,MCDONNM6,Internal,FALSE, ,,60,,,,FALSE,,,,,,BAU ,BAU,BAU,P 02,03/05/2019,1,2019-2020,,,,,,,0.95,0.94,0.09,0.03
ref_877406899,Business,In Progress, Internet Connect,New,International,P3,03/05/2019,04/10/2019,,,28.1105,,RYANC9,International,TRUE, ,,100,,,31.2082,FALSE,,,,,,BAU ,BAU,BAU,P 02,03/05/2019,1,2019-2020,P 07,04/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877408883,Internal,In Progress,Network Updates,Network,Non-Standard,P3,09/05/2019,01/11/2019,,,,,MCDONNM6,Internal,FALSE, ,,60,,,,FALSE,,,,,,BAU ,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 08,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877412102,Business,Parked, One Voice Global SIP,SD Upgrade/Downgrade,International,P4,01/05/2019,30/08/2019,,Y,43,,COATESL,International,FALSE, ,,100,,,,FALSE,,,,,,Backlog,BAU Parked,Parked,P 02,03/05/2019,1,2019-2020,P 05,30/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877423658,Business,In Progress, Etherflow/MPLS,SD Upgrade/Downgrade,Standard Domestic,P3,01/05/2019,25/11/2019,,,,CEDRIC,MCDONNM6,Domestic,TRUE, ,,25,,,,FALSE,,,,,,BAU ,BAU,BAU,P 02,03/05/2019,1,2019-2020,P 08,29/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877468754,Business,Parked, Internet Connect,New,International,P4,08/05/2019,03/09/2019,,Y,47,,RYANC9,International,TRUE, ,,100,,,25.126,FALSE,,,,,,Backlog,Project Parked,Parked,P 02,10/05/2019,1,2019-2020,P 06,06/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877468980,Business,In Progress, MPLS,New,International,P3,08/05/2019,23/10/2019,,,49.9868,,BRADYA,International,TRUE, ,,100,,,11.0137,FALSE,,,,,,BAU ,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 07,25/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877469182,Business,Parked, MPLS,New,International,P4,08/05/2019,21/08/2019,,Y,94,,BRADYA,International,TRUE, ,,100,,,11.0137,FALSE,,,,,,Backlog,Project Parked,Parked,P 02,10/05/2019,1,2019-2020,P 05,23/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877469631,Carrier,In Progress, Etherflow/MPLS,New,3rd Party Standard,P3,03/05/2019,05/11/2019,,,65.9349,,LYONSR3,Domestic,FALSE, ,,50,,,32.2192,FALSE,,,,,,BAU ,BAU,BAU,P 02,03/05/2019,1,2019-2020,P 08,08/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877586491,Business,In Progress, Private Line National,New,3rd Party Non Standard,P3,10/05/2019,01/10/2019,,,0,,BRADYA,Domestic,TRUE, ,,70,,,76.7122,FALSE,,,,,,BAU ,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 07,04/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877606549,Business,In Progress, MPLS,New,International,P3,07/05/2019,18/10/2019,,,49.9593,,BRADYA,International,TRUE, ,,100,,,11.0137,FALSE,,,,,,BAU ,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877640469,Business,In Progress, IP Connect GLOBAL,New,International,P3,08/05/2019,31/01/2020,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,33.9985,TRUE,,,,,,BAU ,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 10,31/01/2020,4,2019-2020,,,0.95,0.94,0.09,0.03
ref_877640684,Business,In Progress, IP Connect GLOBAL,New,International,P3,08/05/2019,23/09/2019,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,38.0222,TRUE,,,,,,Backlog,Backlog,BAU,P 02,10/05/2019,1,2019-2020,P 06,27/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
